时间,森林火灾次数(次),一般火灾次数(次),较大火灾次数(次),重大火灾次数(次),特别重大火灾次数(次),火场总面积(公顷),受害森林面积(公顷),天然林受害面积(公顷),人工林受害面积(公顷),森林火灾伤亡人数(人),森林火灾死亡人数(人),森林火灾其他损失折款(万元)
2018年,2478,1579,894,3,2,28595.2,16309.07,1728.53,9568.49,39,13,20444.73
2017年,3223,2258,958,4,3,44428.4,24502.43,1259.06,15289.3,46,26,4624.06
2016年,2034,1340,693,1,1,18161.46,6223.75,2591.29,2896.48,36,19,4135.68
2015年,2936,1676,1254,3,0,33076.62,12940.03,5986.48,6750.55,26,11,6371.45
2014年,3703,2080,1620,2,1,55339.6,19110.38,6892.57,11059.81,112,89,42512.79
2013年,3929,2347,1582,3,0,42890.42,13724.38,2968.04,100598.36,55,37,6061.63
2012年,3966,2397,1568,1,2,43171.17,13948,1845.26,11021.74,21,12,10801.54
2011年,5550,2993,2548,9,2,63416.21,26949.82,1696.02,23915.76,91,45,20173.42
2010年,7723,4795,2902,22,4,116243.4,45761.08,20208.82,21048.67,108,65,11610.68
2009年,8859,4945,3878,35,1,213635.88,46155.87,5124.45,36057.61,110,39,14511.45
2008年,14144,5673,2569,13,0,184494.54,52539.05,2998.15,45465.15,174,97,12593.91
2007年,9260,3205,1235,4,2,125128.05,29285.89,1590.86,23306.04,94,61,12415.49
2006年,8170,2691,1896,7,5,562303.57,408254.9,333585.05,18899.51,102,41,5374.95
2005年,11542,4949,1457,16,3,290632.81,73701.34,30435.2,36306.46,152,92,15028.77
2004年,13466,6531,1964,38,3,344211.22,142238.26,74471.38,59105.82,252,131,20212.97
