Gender,EHP,credit_history,Experience,annual_claims,Marital_Status,type,Miles,size,credit,,target
F,522,656,1,0,Married,Car,14749,5,Fair,,1
F,691,704,16,0,Married,Car,15389,6,Good,,1
M,133,691,15,0,Married,Van,9956,3,Good,,1
M,146,720,9,0,Married,Van,77323,3,Good,,1
M,128,771,33,1,Married,Van,14183,4,Very Good,,1
F,144,722,18,1,Married,Truck,12208,8,Good,,1
F,151,788,31,3,Married,Truck,13957,2,Very Good,,1
F,88,747,21,1,Single,Car,14200,5,Very Good,,1
F,653,717,34,0,Married,Car,17084,1,Good,,1
F,120,785,19,1,Married,Truck,6101,1,Very Good,,0
M,150,836,20,1,Single,Utility,9485,8,Exceptional,,1
F,423,718,5,3,Single,Truck,11898,2,Good,,0
F,104,793,36,1,Single,Car,12385,6,Very Good,,1
F,87,577,2,1,Married,Truck,41473,4,Very Poor,,1
M,191,635,5,0,Single,Car,11869,5,Fair,,1
M,138,734,18,1,Married,Truck,9280,3,Good,,1
M,94,644,6,2,Married,Truck,92463,2,Fair,,1
F,82,686,22,1,Married,Car,6986,4,Good,,1
M,338,640,1,3,Married,Car,95547,4,Fair,,1
F,213,733,8,3,Single,Truck,13484,2,Good,,0
M,86,728,22,1,Married,Van,12879,1,Good,,1
M,137,681,13,1,Married,Utility,11199,3,Good,,0
M,154,771,24,1,Married,Van,13608,3,Very Good,,1
M,120,768,16,1,Married,Van,7058,1,Very Good,,0
F,144,737,24,1,Married,Car,6086,8,Good,,1
F,125,792,18,1,Married,Car,16610,7,Very Good,,1
M,110,542,2,2,Single,Car,13115,3,Very Poor,,0
M,116,718,39,0,Married,Truck,14992,6,Good,,1
M,93,798,17,0,Single,Utility,10791,8,Very Good,,1
F,130,709,24,0,Married,Car,7110,3,Good,,1
M,122,618,5,3,Single,Car,20376,8,Fair,,0
F,306,721,6,2,Single,Truck,14587,3,Good,,0
M,159,676,1,0,Married,Truck,11207,5,Good,,1
M,135,762,11,1,Single,Utility,5138,6,Very Good,,0
M,160,764,13,0,Single,Utility,12088,8,Very Good,,0
F,80,760,15,0,Married,Truck,12429,7,Very Good,,1
F,153,706,16,0,Married,Car,12734,3,Good,,0
M,484,608,1,0,Married,Van,5999,7,Fair,,1
M,207,681,3,2,Married,Car,14617,6,Good,,1
F,142,773,16,0,Married,Truck,10067,5,Very Good,,1
M,95,712,7,0,Married,Van,25244,7,Good,,1
